category,text,split
Business,"Bush signs \$136 billion tax-cut bill with no fanfare. WASHINGTON President Bush has signed into law the most sweeping rewrite of corporate tax law in nearly two decades. Bush signed the bill today with no fanfare, during a flight on Air Force One to a campaign stop in Pennsylvania.",train
Business,"Continental won #39;t make pension contributions this year. Continental Airlines announced today it will not make any contributions to its pension plan this year, citing as reasons the ongoing uncertainty of the industry #39;s economic environment and the record high cost of jet fuel.",train
Business,UPDATE:James Hardie 1H Net Disappoints; Cuts FY Forecast. SYDNEY (Dow Jones)--Australian building products manufacturer James Hardie Industries NV (JHX) surprised investors Monday by reporting a 9.5 drop in net profit for ,train
Business,"Treasuries Tussle with Profit-Takers.  NEW YORK (Reuters) - U.S. Treasury yields held near  six-month lows on Thursday, though the market was struggling to  extend recent hefty gains in the face of profit-taking.",train
Business,Bankrupt airlines steer clear of cutting frequent-flier perks. The two major US airlines in bankruptcy have made tough choices about jobs and wages while largely protecting the free tickets and other perks offered to their frequent fliers.,train
Business,"Holiday sales results lift Wal-Mart, Kmart. Wal-Mart Stores Inc. said a surge in after-Christmas shopping spurred December same-store sales gains of about 3 percent, at the high end of its forecast. Kmart Holding Corp. said profit rose 10 percent during the holiday season after it limited deep discounts.",train
Business,Diageo Sells Cereal Maker Shares. Drinks giant Diageo today raised 2.26 billion US dollars (1.27bn) after selling a further chunk of shares in Cheerios cereal maker General Mills.,train
Business,"Halliburton hit. THE US army will withhold payment on 15 per cent of future invoices from Halliburton, the logistics support group which is feeding and housing its troops in Iraq and Kuwait. ",train
Business,"Wal-Mart sees sales up 2.4. WAL-MART Stores, the worlds largest retailer and owner of Asda supermarkets, said sales at stores open at least a year rose 2.4 per cent in September, slightly higher than its preliminary report but still towards the low end of its forecast range.",train
Business,"Sony Leads MGM Acquisition. Entertainment companies had been vying for MGM to get their hands on its library of more than 4,000 titles. Time Warner initially was seen as the front-runner in the race.",train
Business,"Drugs, Oil Drag Stocks Lower.  NEW YORK (Reuters) - Stocks were knocked lower on Thursday  as investors worried that rising prices for oil and commodities  would shrink corporate profits, while drug shares fell on  possible stricter scrutiny from regulators.",train
Business,"DATA VIEW: Singapore Aug Indus Output Below Expectations. SINGAPORE (Dow Jones)--Singapore #39;s industrial output rose a smaller-than-expected 5.3 on year in August, as the production of pharmaceuticals fell sharply from a high base a year ago.",train
Business,Pulitzer shares surge on possible sale. ST. LOUIS Pulitzer Incorporated shares spike more than 17 percent on news that the publisher of the St. Louis Post-Dispatch and two Arizona newspapers is considering a possible sale.,train
Business,"SEC Probes United Rentals, Shares Drop.  CHICAGO (Reuters) - U.S. securities regulators are  investigating United Rentals Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=URI.N target=/stocks/quickinfo/fullquote""&gt;URI.N&lt;/A&gt; and have subpoenaed  some accounting records, the company said on Monday, sending  its shares down 21.5 percent.",train
Business,webcrawler: A9.com is cool. NOW heres something else thats off the mind. Theres no more need to make mental or computer notes while searching the Internet.,train
Business,Oil Firm Near \$54 on Heating Fuel Worries.  SINGAPORE (Reuters) - Oil prices rebounded to \$54 a barrel  on Thursday ahead of U.S. inventory data expected to show tight  heating fuel stocks ahead of winter.,train
Business,"Golden rings cheaper but list dearer. Want a gift to please your honey this holiday season and save some bucks, too? Consider five golden rings, the fifth gift in the classic holiday song  quot;The Twelve Days of Christmas.",train
Business,"Mortgage Rates Rise Around the Country. Mortgage rates around the country rose this week but are still at levels that should continue to provide support to the vibrant housing market, analysts say.",train
Business,"For the Salvation Army, there #39;s little holiday cheer at this &lt;b&gt;...&lt;/b&gt;. Target #39;s decision to ban Salvation Army bell ringers from its 1,313 locations nationwide has hit Allentown this holiday season.",train
Business,Qualcomm Raises Earnings Forecast. Qualcomm Inc. on Friday raised its quarterly profit forecast due to strong demand for its mobile phone technology. The San Diego company said it expects earnings per ,train
Business,"US Stocks Rise on Oracle #39;s PeopleSoft Purchase, Retail Sales. US stocks gained after PeopleSoft Inc. agreed to be bought by Oracle Corp. and Honeywell International Inc. made a UK purchase, signaling that companies are optimistic about the economy #39;s prospects.",train
Business,The Hunt for a Hybrid. The Aug. 23 front-page article on the Toyota Prius vs. the Honda Civic implied that the main reason people prefer the Prius was its  quot;geek-chic look quot; and the image buyers want.,train
Business,"Finnish labour market reform vital to pay for ageing population: OECD (AFP). AFP - The Organization for Economic Co-operation and Development called on Finland in a report to reform its labor market to boost employment, necessary to cope with an ageing population.",train
Business,"Marine City priest leaves foundation \$575,000 bequest. Following a lifetime of helping people through his church work, a \$575,000 gift from the Rev. Donald Bartone will help renew that dedication nearly two years after his death.",train
Business,Profit-taking pushes oil prices downward. Oil prices fell sharply yesterday in what traders described as a wave of profit-taking after futures hit a new high above \$55 a barrel and after gasoline futures fell sharply on indications of declining demand.,train
Business,Cardinal Picks a Lilly. Cardinal Health's deal with Lilly suggests the new fee-for-service model is gaining traction.,train
Business,"Altria Profit Helped by Brewer, Taxes.  CHICAGO (Reuters) - Altria Group Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MO.N target=/stocks/quickinfo/fullquote""&gt;MO.N&lt;/A&gt;, on Tuesday  posted higher quarterly profit, as higher income from its stake  in brewer SABMiller Plc &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SAB.L target=/stocks/quickinfo/fullquote""&gt;SAB.L&lt;/A&gt;, a lower tax rate  and the weak  dollar offset weakness in domestic tobacco and its Kraft food  business.",train
Business,"Monsanto Says Justice Dept Closes Inquiry.  NEW YORK (Reuters) - Monsanto Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MON.N target=/stocks/quickinfo/fullquote""&gt;MON.N&lt;/A&gt; on Wednesday said  the U.S. Justice Department has closed an inquiry into  potential antitrust issues regarding a key ingredient used in  its Roundup herbicide.",train
Business,"A Million in Florida Still Powerless After Jeanne. About one million customers remained without power in Florida early Tuesday after Hurricane Jeanne tore through the state over the weekend, according to two of Florida #39;s largest utilities.",train
Business,"Share price no basis for lawsuit. COLLINS STEWART was the first company to try to base libel damages on a falling share price. Had the broker succeeded, it would have threatened the Financial Times with a huge liability - and ",train
Business,Executives dismissed in insurance inquiry. ACE yesterday became the latest insurance company to announce changes in its business practices in response to the industry investigation launched by New York #39;s attorney general.,train
Business,AOL Files Lawsuit Against IM  #39;Spim #39;. America Online Inc. said Thursday it had filed a federal lawsuit accusing numerous unnamed defendants of violating federal and state laws by sending bulk messages known as  quot;spim quot; to instant message accounts and Internet chat rooms.,train
Business,"Boeing to build cargo version of 777. NEW YORK: Boeing Co said today it will manufacture a cargo version of the twin-engine Boeing 777 commercial airliner. Due to enter service late in the fourth quarter of 2008, the Boeing 777 Freighter will ",train
Business,"Bush, Kerry ready for final face-off Wednesday in Arizona. WASHINGTON (CBS.MW) -- President Bush and Democratic challenger John Kerry are set to face off for their third and final debate Wednesday, when the candidates turn from foreign policy to domestic issues.",train
Business,"Office Depot Chairman, CEO Nelson Resigns. Office Depot Inc. (ODP.N: Quote, Profile, Research) , the No. 2 US office supply chain, on Monday said Chairman and Chief Executive Officer Bruce Nelson has resigned and a search for his successor is underway.",train
Business,Calif. Energy Panel Criticized for Crisis. An appeals court ruled Thursday that federal energy regulators shirked their duty when they declined to order power companies to refund consumers for overcharges during ,train
Business,"Asian Stocks Rise on U.S. Tech Advances (Reuters). Reuters - Investors bought shares in Asian\exporters and electronics firms such as Fujitsu Ltd. on\Tuesday, buoyed by a favorable outlook from U.S. technology\bellwethers and a slide in oil prices.",train
Business,"Report boosts Nextel, Sprint. Shares of Sprint Corp. and Nextel Communications Inc. jumped yesterday following reports the two telephone companies were discussing a merger.",train
Business,"Bush quietly signs corporate tax-cut bill. WASHINGTON - With no fanfare, President Bush Friday signed the most sweeping rewrite of corporate tax law in nearly two decades, showering \$136 billion in new tax breaks on businesses, farmers and other groups.",train
Business,"Chicago Fed conf. sees US 2005 GDP down at 3.3 pct. US economic growth is expected to slow in 2005 due to rising interest rates and high crude oil prices, according to a forecast of participants at a Federal Reserve Bank of Chicago conference released on Monday.",train
Business,"Bank of America Fires Back at Parmalat.  LONDON (Reuters) - Grant Thornton and Bank of America have  filed motions in a New York court to remove a U.S. injunction  stopping them counter-suing insolvent Italian dairy group  Parmalat, which has sued each for \$10 billion.",train
Business,"US Airways, GE reach accord on airplane leasing and financing. The Wall Street Journal reports that the carrier #39;s largest creditor has agreed to an aircraft leasing and financing deal that would give US Airways a financial lifeline.",train
Business,"Oracle chairman says can close gap with SAP - report. Oracle Corp can close the gap with SAP, the world #39;s biggest software company, after buying US rival PeopleSoft, Oracle #39;s Chairman Jeff Henley said in an interview published on Wednesday.",train
Business,"Bank of America #39;s Focus on Profit, Job Cuts Irks Politicians. Bank of America Corp. Chief Executive Officer Kenneth Lewis is running afoul of Massachusetts politicians as he slashes jobs to increase earnings following his \$48 billion purchase of FleetBoston Financial Corp.",train
Business,Sun settles Kodak patent suit. Sun Microsystems says it will pay Kodak \$92 million to settle a high-profile patent suit involving Sun #39;s Java programming technology.,train
Business,"Rivals Ocean Spray, Northland make peace. Cranberry juice rivals Ocean Spray and Northland have ended their legal battle and agreed to join forces. The companies said Friday that Ocean Spray will take over its smaller rival #39;s ",train
Business,"Olympics boosts WPP growth. WPP, the world's third largest advertising services group, has reported 15 growth in profits in the first half of the year.",train
Business,"Russia shrugs off US court freeze on oil giant Yukos auction. MOSCOW (AFP) - Russia forged ahead with the weekend auction of the core asset of crippled oil giant Yukos despite a disputed US court order barring the sale, with state-controlled gas giant Gazprom entering the bidding.",train
Business,"Delta pilots OK \$5B in concessions. SAN FRANCISCO (CBS.MW) -- Pilots at Delta Air Lines approved a management-backed pay cut that will save the airline \$5 billion over the next five years, the pilots union said Thursday.",train
Business,"China Pledges to Move Toward Flexible Exchange Rate. China says it will move toward a flexible exchange rate for its currency, but there is no word on how long such a transition will take.",train
Business,"Gold lifts TSX; Dow sinks with Merck. The Toronto stock market posted a small gain today, pushed higher by the gold sector, but drug company Merck  amp; Co. took the Dow Jones industrial average into the red after taking its arthritis drug Vioxx off the market.",train
Business,"MDs: Vioxx not the only drug to help arthritis. The withdrawal of Vioxx may take a bite out of Merck  amp; Co. #39;s revenues, but it isn #39;ta setback for arthritis patients, doctors said Friday, because dozens of other drugs offer the same symptom relief.",train
Business,US unemployment claims slip but picture still murky. NEW YORKFewer Americans lined up to claim first-time jobless benefits last week but analysts said the modest decline said very little about the current state of the labour market. ,train
Business,Saks announces store closings. Saks says shutting down weaker stores will allow the company to focus on its more  quot;productive quot; locations and further strengthen its brand.,train
Business,Regulators Clear Oracle Bid for Peoplesoft. European Union antitrust regulators on Tuesday cleared Oracle Corp. #39;s hostile \$7.7 billion bid for rival business software maker PeopleSoft Inc.,train
Business,"Treasury Prices Take a Breather Today.  NEW YORK (Reuters) - U.S. Treasury prices paused for breath  on Tuesday after a blistering two-session rally ran out of  steam, though analysts still saw room to the upside given the  large short-base in the market.",train
Business,"Stocks in a rut. According to the FTSE World Index Japan has been best performer of the major markets with a 6 per cent rise in dollar terms while Germany, down 7.7 per cent, was the worst.",train
Business,Gold Fields wins appeal to fight takeover. Gold Fields Ltd. won an appeal on Friday in its battle to stave off a hostile \$7.1 billion takeover by Harmony Gold Mining Co. that would create the world #39;s largest gold mining company.,train
Business,Tata CS celebrates profits uplift. Indian software giant Tata CS unveils sharply higher profits in its first set of results since its stock market launch.,train
Business,"IMF, World Bank look to keep global recovery strong (AFP). AFP - Facing a global economy on the mend but threatened by surging oil prices and other factors, IMF and World Bank policymakers opened two days of meetings Saturday to discuss ways to keep the recovery on track.",train
Business,"Marsh to Scrap Fees Spitzer Faulted (Reuters). Reuters - Marsh   McLennan Cos. , the\world's largest insurance broker, said on Tuesday it would\reform its business practices and stop accepting fees at the\center of an investigation by New York Attorney General Eliot\Spitzer into bid rigging.",train
Business,"General Electric Raises Dividend. General Electric Co., a maker of jet engines, plastics and appliances as well as owner of the NBC television network, said Friday that its board raised the company #39;s quarterly dividend by 10 percent to 22 cents per share, and authorized the repurchase of ",train
Business,"Charles Schwab Lowers Certain Fees. Discount brokerage firm Charles Schwab Corp. said on Monday that its brokerage arm will lower retail equity trade commissions, and the pricing changes may reduce revenue for the next year while enhancing its competitive position.",train
Business,"AOL Is Said to Plan 700 Layoffs. America Online, the country #39;s leading Internet service, is preparing to lay off as many as 700 of its 13,000 employees in the United States, according to an executive knowledgeable about its plans.",train
Business,"Ireland raises growth forecasts. Ireland is poised to grow faster with a smaller deficit thanks to the global economic recovery, the government says.",train
Business,"Bush Set to Open Oil Reserve Spigot (Reuters). Reuters - With oil prices close to  #36;50 a\barrel, the Bush administration is set to allow oil refineries\to borrow crude from the government's emergency petroleum\stockpile to make up for supplies disrupted by Hurricane Ivan,\a congressional source briefed on the pending decision told\Reuters on Thursday.",train
Business,Australia Airline Announces Fuel Surcharge. Australian budget airline Virgin Blue announced Monday it will increase the fuel surcharge it adds to ticket prices from Aug. 26 because of soaring oil prices.,train
Business,"Yukos bosses in exile, its survival in doubt. Russian oil company Yukos, with shares near all-time lows and its bosses in exile, warned last night it is being driven toward bankruptcy.",train
Business,"Briefly: China interest in key Yukos unit. China is interested in participating in the bidding for Yuganskneftegaz, the top oil-producing subsidiary of the Russian oil giant Yukos, a Chinese economic official was quoted as saying in a report Thursday by the Russian news agency Interfax. The ...",train
Business,"Bill Gates is the richest for 11 years successively. Bill Gates, the founder of Microsoft, still remains the richest person in the USA, according to Forbes Magazine. Gates has been keeping the first place for already 11 year in a raw among the richest Americans.",train
Business,5000 rally against James Hardie. MORE than 5000 building workers and asbestos victims have rallied outside a general meeting for embattled building products company James Hardie in central Sydney today.,train
Business,"Oil rallies to new record high. Crude oil futures rallied late Friday to a new record high of \$54.90, a day after a decline in the US inventory of heating oil roiled a market already on edge over tight supplies, high demand and unrest among key producers.",train
Business,"Flu Shot Shortage Highlights U.S. Crisis.  WASHINGTON (Reuters) - Concerned health officials began  investigating on Friday what went wrong at a British vaccine  plant where half the U.S. flu shots were made, and called on  more companies to get into the vaccine business.",train
Business,"Consumer Confidence Slips Again. Consumer confidence declined in September for the second consecutive month, a New York-based private research group said Tuesday.",train
Business,"Kmart and Sears announce merger. Kmart Holding Corp and Sears, Roebuck and Co said Wednesday that they are merging to form a new retail company called Sears Holdings Corp that will be the US #39; third-largest retailer with about US\$55 billion in annual revenues.",train
Business,"Retailers Vie for Back-To-School Buyers (Reuters). Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.",train
Business,"PeopleSoft, IBM Strike \$1B Deal for Middleware. SAN FRANCISCOPeopleSoft Inc. on Tuesday announced an expanded relationship with IBM that will effectively add a middleware infrastructure layer to PeopleSoft #39;s applications.",train
Business,Fears for T N pension after talks. Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,train
Business,"GM, Daimler Go Green. Team-up will help the companies compete and fill gaps in both firms' portfolios.",train
Business,"Labor situation deserves honest talk. For a moment last week, President Bush escaped the White House spin chamber and was the plainspoken man much of the nation came to like four years ago.",train
Business,"Jos. A. Bank Settles Probe Of Sales Ads. Men #39;s apparel seller Jos. A. Bank Clothiers Inc. has agreed to pay \$475,000 to settle an investigation by New York Attorney General Eliot L. Spitzer, who accused the company of using deceptive ",train
Business,"Avon Third-Quarter Profit Rises.  CHICAGO (Reuters) - Avon Products Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AVP.N target=/stocks/quickinfo/fullquote""&gt;AVP.N&lt;/A&gt; on Friday  posted higher quarterly earnings as business in Latin America  and Europe helped offset weakness in the United States for the  direct seller of cosmetics.",train
Business,"San Diego fiscally sound, mayor says. SAN DIEGO - In the wake of another downgrading of San Diego #39;s credit rating, Mayor Dick Murphy today reassured the public that the city is fiscally sound.",train
Business,Copper takes another hammering. Copper prices fall for the second day running amid fears of falling demand from key markets in China and the US.,train
Business,Boeing Offers 777 Cargo Freighter. Boeing Co. on Monday said it is offering a 777 cargo model that will be the largest and farthest-flying twin-engine freighter. The Boeing 777 freighter is scheduled to enter service in the fourth quarter of 2008.,train
Business,"Treasuries Slip, Investors Play the Range (Reuters). Reuters - U.S. Treasury debt prices slipped on\Thursday, unwinding some of the gains made the previous\session, as investors played the recent range in largely\technical trading.",train
Business,"Sharper Image says campaign hurt 3Q. Sharper Image Corp., a retailer of personal and home electronics, posted a third-quarter loss Thursday, saying same-store sales slipped and that the presidential election campaign hurt business.",train
Business,Microcell shares hit new high as Rogers seeks federal OK for &lt;b&gt;...&lt;/b&gt;. TORONTO (CP) - Microcell Telecommunications #39; buoyant shares hit a new high Thursday amid heightened expectations of a bidding war between Telus Corp.,train
Business,"ARM agrees to buy Artisan Components for \$903 mn. LONDON, August 23 (New Ratings) - ARM Holdings (ARM.ETR) has agreed to buy Artisan Components Inc (ARTI), a US-based provider of integrated circuit designing solutions, for about \$913 million (503.",train
Business,Black  amp; Decker Q3 earns leap 51. SAN FRANCISCO (CBS.MW) - Black  amp; Decker on Wednesday reported a 51 percent surge in third-quarter earnings reflecting strong demand in Dewalt and Price Pfister brands despite a slide in the company #39;s namesake product line.,train
Business,"Samsung Electronics posts weaker-than-expected Q3 net profits. SEOUL : South Korea #39;s Samsung Electronics Friday posted weaker-than-expected results for the third quarter as low product prices, coupled with higher promotion costs, undermined its bottom line.",train
Business,Google Stock Falls on Outlook - Analyst.  NEW YORK/CHICAGO (Reuters) - Shares of Google Inc. fell  almost 9 percent on Friday after an analyst forecast a sharp  drop in the price over the next 12 months as the Internet  search company grows more slowly.,train
Business,US Air Reaches Giveback Deal with Pilots (Reuters). Reuters - Bankrupt US Airways Group Inc.\ reached a tentative agreement on Friday with\negotiators for its pilots union on  #36;300 million in annual\concessions.,train
Business,"Alitalia union may accept job cuts. A top Italian labor leader says his union could consider job cuts at Alitalia to prevent the airline #39;s collapse, as workers at the flag carrier clamored for details of its cost-cutting rescue plan.",train
Business,"Tokyo Stocks Higher, Lifted by Survey.  TOKYO (Reuters) - Tokyo stocks rose by mid-morning on  Monday with a broad range of issues getting a lift from a key  survey that boosted optimism on Japan's economic outlook, with  expectations rising that growth figures will be revised up.",train
Business,"US Airways to Alter Flights. US Airways said it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.",train
Business,"Tyco Swings to Profit, Warns on Estimates. Manufacturing conglomerate Tyco International Ltd. said Monday that it swung to a profit in the fourth quarter from a year-ago loss, but the company guided below consensus estimates for the first quarter of fiscal 2005.",train
Business,"Mid-Atlantic Factory Output Grows in Dec. (Reuters). Reuters - U.S. Mid-Atlantic factories kicked\production up a notch in December as orders for manufacturing\goods increased, a regional Federal Reserve bank said on\Thursday.",train
Business,Axa misses on Australia takeover. European insurance giant Axa has withdrawn its Aust. \$3.4 billion (\$2.48 billion) offer for the 48.3 percent of Axa Asia Pacific Holdings it doesn #39;t own after independent directors ,train
Business,"Fannie Mae criminal probe begun. Federal prosecutors in Washington have opened an investigation into possible wrongdoing at mortgage giant Fannie Mae, just days after regulators accused ",train
Business,"ATA: Customers Won #39;t Be Affected By Bankruptcy. INDIANAPOLIS -- ATA says it will honor all tickets and maintain its full schedule, after filing for Chapter 11 bankruptcy Tuesday.",train
Business,"Big Dig Tunnel Is Riddled With Leaks. In a burgeoning political and engineering scandal, Boston #39;s gleaming new underground Interstate 93 highway is riddled with hundreds of leaks.",train
Business,"Deficits soil safe-haven image of US Treasury debt. Once a seemingly indestructible hiding hole for the frightened investor, some on Wall Street are beginning to question the super-safe status of US Treasury debt.",train
Business,"UnitedHealthcare to Settle Fraud Charges. WASHINGTON - UnitedHealthcare will pay the federal government \$3.5 million to settle allegations of fraud stemming from mishandling of telephone calls involving the Medicare program, the Justice Department announced.",train
Business,UK writing off poor nations' debt. Gordon Brown says the UK will write off its share of debts owed by the world's poorest countries to the World Bank.,train
Business,"Union: At Least 100 Delta Pilots to Retire as Pay Cuts Start. At least 100 Delta Air Lines pilots are expected to retire effective Wednesday, the start date for a 32.5 percent pay cut agreed to in a \$1 billion concessions package to help save the nation's third largest air carrier from bankruptcy.",train
Business,"Stocks Seen Steady Ahead of Oil, GDP Data.  NEW YORK (Reuters) - U.S. stocks looked to open little  changed on Wednesday, a day after staging a late rally on heavy  machinery maker Caterpillar Inc.'s &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CAT.N target=/stocks/quickinfo/fullquote""&gt;CAT.N&lt;/A&gt; raised sales  forecast, but high oil prices will remain on investors' minds  ahead of U.S. crude inventories data.",train
Business,"Pump prices may dip after Labor Day. Pump prices have been climbing in advance of Labor Day, as they often do before the last major drive-away weekend of the summer. The average price for self-serve regular ",train
Business,"Saudi setback hurts BAE Systems. BAE Systems shares slid more than 4 per dcent in early trade after the company, while announcing  quot;good progress quot; on its Eurofighter contracts, admitted further troubles in the controversial al-Yamamah programme.",train
Business,"Verizon, Bain Near Canada Directory Deal.  NEW YORK (Reuters) - Verizon Communications Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=VZ.N target=/stocks/quickinfo/fullquote""&gt;VZ.N&lt;/A&gt; is  near an agreement to sell its Canadian telephone directory  business to private equity firm Bain Capital, the New York Post  said on Wednesday.",train
Business,"Court Seen Lifting YUKOS Block -- Lawyers.  LONDON (Reuters) - A U.S. bankruptcy court is likely to  revoke its temporary ban on the sale of Russian oil group  YUKOS's main production unit, lawyers said on Friday.",train
Business,"On Advertising: Grey sale marks end of an era. LONDON Edward Meyer, the 77-year-old chairman of Grey Global Group, was philosophical last week when asked why he had decided to sell the company to WPP Group, one of the sprawling, publicly traded holding companies that increasingly dominate the ",train
Business,"Aon may face civil suit. The office of New York Attorney General Eliot Spitzer has uncovered evidence of improper business practices at Aon Corp., the world #39;s second-largest insurance broker, according to a published report.",train
Business,"Oil prices fall as supply fears fade. World oil prices plummeted to a near three-month low on Thursday, capping a two-day, 12-percent plunge as fear of a global energy supply crunch evaporated.",train
Business,"Guidant, J amp;J reportedly are in merger talks. Johnson  amp; Johnson is in advanced negotiations to acquire Guidant, an Indianapolis-based medical device maker, for more than \$24 billion, executives close to the talks said Monday.",train
Business,Coke opens its coolers to rival products. Coca Cola is to allow other companies #39; products in its shop coolers for the first time. It has agreed the move in a deal with the European Commission to settle a five year competition case.,train
Business,"Enron to Pay \$321 Million in Pensions.  HOUSTON (Reuters) - Enron Corp. will pay \$321 million from  the proceeds of its sale of its pipeline arm to fund pension  plans for thousands of former employees, a government pension  agency said on Monday.",train
Business,Murdoch Wins Vote to Shift News Corp..  ADELAIDE (Reuters) - Rupert Murdoch won shareholder  approval on Tuesday to move the corporate headquarters of his  \$48 billion News Corp. Ltd. media empire to the United States  and finally sever its Australian roots.,train
Business,"British Airways Averts Strike, Agrees Pay With Unions (Update2). British Airways Plc, Europe #39;s second- biggest airline, reached a pay accord with unions, averting a strike planned for the Aug. 27-30 holiday weekend by 11,000 baggage handlers and check-in staff.",train
Business,"Some Executives Can #39;t Take a Hint. CQ quot; gt; Walt Disney Company shareholders might have done a double take when their chief executive, Michael D. Eisner, testified in court last week about the brief tenure of his friend, Michael S. Ovitz, as company president.",train
Business,"Panel: U.S. Must Diversify Oil Supplies.  WASHINGTON (Reuters) - The United States must  diversify  its global oil supplies, expand a world network of strategic  petroleum reserves and raise fuel efficiency standards to  ensure its energy security, a panel of experts will recommend  on Wednesday.",train
Business,"Chinese economy surges 9.5 in first 3 quarters. BEIJING: China #39;s economy surged by an impressive 9.5 per cent year-on-year in the first nine months of this year, marginally slower than the 9.7 per cent recorded in the first half of the year, the government said here on Sunday while claiming credit for ",train
Business,"Dow Jones cuts forecast, stock sinks. Company cites weak Wall Street Journal ads, analysts predict weak results at other newspaper chains. NEW YORK (Reuters) - Dow Jones  amp; Co.",train
Business,Allergan to axe 325 Westport jobs. The county #39;s largest employer said the jobs losses at its Westport plant occurred following the spin off of Allergan #39;s optical medical device business to Advanced Medical Optics (AMO).,train
Business,"Nikkei briefly regains 11,000 level. TOKYO - Japan #39;s benchmark Nikkei stock index briefly recovered to the 11,000 level Monday morning on widespread buying prompted by advances in US shares last Friday.",train
Business,"Virgin Mobile growth prospects disappoint. Richard Branson #39;s Virgin Mobile has forecast substantially higher earnings and margins, but disappointing predictions for service revenue ",train
Business,"PeopleSoft Execs Defend Bid Rejection. PeopleSoft Inc. #39;s (PSFT.O: Quote, Profile, Research) chief financial officer on Wednesday said the company #39;s customer assurance program might not force liabilities on Oracle Corp.",train
Business,IMF urged to assist countries in prevention of financial crisis. Developing countries on Friday urged the International Monetary Fund (IMF to develop effective lending facilities to assist countries in the prevention of financial crisis.,train
Business,Wish Upon a Starbucks. Shares of Starbucks (Nasdaq: SBUX) slipped last night in after-hours trading when the coffee champ reported same-store sales that were more lackluster than usual.,train
